zipcode;locality;subregion;region
28005;28079;28;13
28054;28079;28;13
28170;28163;28;13
28500;28014;28;13
28596;28025;28;13
28030;28079;28;13
28229;28177;28;13
28232;28127;28;13
28280;28054;28;13
28312;28013;28;13
28512;28179;28;13
28529;28123;28;13
28560;28035;28;13
28590;28180;28;13
28668;28007;28;13
28813;28154;28;13
28900;28065;28;13
28931;28092;28;13
28982;28106;28;13
28016;28079;28;13
28100;28006;28;13
28224;28115;28;13
28295;28159;28;13
28470;28038;28;13
28515;28101;28;13
28570;28102;28;13
28650;28037;28;13
28660;28022;28;13
28700;28134;28;13
28710;28086;28;13
28742;28076;28;13
28851;28148;28;13
28863;28041;28;13
28912;28074;28;13
28460;28087;28;13
28514;28100;28;13
28530;28091;28;13
28600;28096;28;13
28694;28051;28;13
28730;28027;28;13
28910;28074;28;13
28648;28031;28;13
28921;28007;28;13
28976;28017;28;13
28049;28079;28;13
28086;28079;28;13
28120;28009;28;13
28191;28117;28;13
28192;28902;28;13
28248;28072;28;13
28722;28168;28;13
28756;28143;28;13
28919;28074;28;13
28925;28007;28;13
28937;28092;28;13
28980;28106;28;13
28231;28127;28;13
28260;28061;28;13
28300;28013;28;13
28511;28165;28;13
28609;28141;28;13
28755;28126;28;13
28008;28079;28;13
28195;28902;28;13
28219;28054;28;13
28341;28161;28;13
28701;28134;28;13
28723;28108;28;13
28942;28058;28;13
28991;28149;28;13
28042;28079;28;13
28150;28164;28;13
28220;28080;28;13
28670;28181;28;13
28707;28134;28;13
28729;28094;28;13
28751;28030;28;13
28753;28901;28;13
28817;28137;28;13
28932;28092;28;13
28941;28058;28;13
28015;28079;28;13
28046;28079;28;13
28082;28079;28;13
28214;28056;28;13
28311;28013;28;13
28739;28063;28;13
28752;28901;28;13
28805;28005;28;13
28840;28084;28;13
28860;28104;28;13
28890;28075;28;13
28002;28079;28;13
28051;28079;28;13
28052;28079;28;13
28522;28123;28;13
28610;28174;28;13
28793;28085;28;13
28011;28079;28;13
28012;28079;28;13
28080;28079;28;13
28160;28145;28;13
28210;28095;28;13
28213;28042;28;13
28240;28072;28;13
28310;28013;28;13
28450;28046;28;13
28480;28068;28;13
28630;28171;28;13
28721;28029;28;13
28760;28903;28;13
28990;28150;28;13
28041;28079;28;13
28053;28079;28;13
28085;28079;28;13
28189;28016;28;13
28038;28079;28;13
28380;28043;28;13
28411;28090;28;13
28521;28123;28;13
28594;28155;28;13
28743;28062;28;13
28754;28901;28;13
28816;28032;28;13
28250;28061;28;13
28607;28004;28;13
28692;28176;28;13
28696;28109;28;13
28803;28005;28;13
28939;28015;28;13
28970;28073;28;13
28978;28050;28;13
28013;28079;28;13
28024;28079;28;13
28037;28079;28;13
28048;28079;28;13
28108;28006;28;13
28212;28095;28;13
28230;28127;28;13
28741;28120;28;13
28820;28049;28;13
28911;28074;28;13
28940;28058;28;13
28971;28066;28;13
28009;28079;28;13
28017;28079;28;13
28028;28079;28;13
28045;28079;28;13
28340;28161;28;13
28342;28161;28;13
28360;28170;28;13
28370;28052;28;13
28479;28038;28;13
28695;28099;28;13
28737;28114;28;13
28794;28067;28;13
28818;28012;28;13
28823;28049;28;13
28007;28079;28;13
28036;28079;28;13
28047;28079;28;13
28290;28127;28;13
28720;28028;28;13
28864;28002;28;13
28880;28083;28;13
28904;28065;28;13
28923;28007;28;13
28917;28074;28;13
28933;28092;28;13
28977;28036;28;13
28979;28140;28;13
28010;28079;28;13
28050;28079;28;13
28109;28006;28;13
28193;28039;28;13
28209;28131;28;13
28491;28093;28;13
28597;28060;28;13
28598;28173;28;13
28706;28134;28;13
28749;28120;28;13
28750;28129;28;13
28815;28057;28;13
28850;28148;28;13
28027;28079;28;13
28083;28079;28;13
28196;28902;28;13
28200;28131;28;13
28211;28054;28;13
28400;28047;28;13
28413;28023;28;13
28492;28082;28;13
28770;28082;28;13
28801;28005;28;13
28807;28005;28;13
28945;28058;28;13
28947;28058;28;13
28984;28106;28;13
28004;28079;28;13
28018;28079;28;13
28026;28079;28;13
28087;28079;28;13
28359;28147;28;13
28580;28011;28;13
28669;28022;28;13
28800;28005;28;13
28901;28065;28;13
28918;28074;28;13
28920;28007;28;13
28035;28079;28;13
28043;28079;28;13
28070;28079;28;13
28390;28019;28;13
28510;28033;28;13
28891;28167;28;13
28907;28065;28;13
28938;28092;28;13
28946;28058;28;13
28022;28079;28;13
28294;28125;28;13
28320;28113;28;13
28913;28074;28;13
28916;28074;28;13
28936;28092;28;13
28071;28079;28;13
28194;28124;28;13
28693;28119;28;13
28810;28172;28;13
28861;28104;28;13
28922;28007;28;13
28924;28007;28;13
28944;28058;28;13
28023;28079;28;13
28034;28079;28;13
28430;28068;28;13
28649;28128;28;13
28812;28111;28;13
28020;28079;28;13
28110;28009;28;13
28180;28151;28;13
28419;28023;28;13
28420;28061;28;13
28708;28134;28;13
28709;28134;28;13
28806;28005;28;13
28814;28053;28;13
28821;28049;28;13
28902;28065;28;13
28950;28089;28;13
28983;28106;28;13
28221;28080;28;13
28330;28132;28;13
28440;28068;28;13
28640;28031;28;13
28680;28133;28;13
28804;28005;28;13
28029;28079;28;13
28032;28079;28;13
28791;28144;28;13
28802;28005;28;13
28903;28065;28;13
28930;28092;28;13
28006;28079;28;13
28040;28079;28;13
28055;28079;28;13
28292;28061;28;13
28297;28135;28;13
28412;28023;28;13
28550;28146;28;13
28691;28176;28;13
28702;28134;28;13
28862;28104;28;13
28905;28065;28;13
28906;28065;28;13
28915;28074;28;13
28981;28106;28;13
28025;28079;28;13
28033;28079;28;13
28223;28115;28;13
28293;28183;28;13
28350;28040;28;13
28524;28123;28;13
28703;28134;28;13
28909;28065;28;13
28001;28079;28;13
28039;28079;28;13
28270;28044;28;13
28343;28161;28;13
28391;28157;28;13
28490;28018;28;13
28690;28026;28;13
28822;28049;28;13
28935;28092;28;13
28021;28079;28;13
28410;28082;28;13
28523;28123;28;13
28540;28110;28;13
28620;28008;28;13
28792;28085;28;13
28811;28048;28;13
28914;28074;28;13
28943;28058;28;13
28119;28134;28;13
28296;28135;28;13
28595;28055;28;13
28740;28120;28;13
28934;28092;28;13
28003;28079;28;13
28014;28079;28;13
28019;28079;28;13
28031;28079;28;13
28044;28079;28;13
28130;28162;28;13
28140;28059;28;13
28190;19067;19;08
28222;28080;28;13
28679;28181;28;13
28830;28130;28;13
